NAME,SOLD,COST
"Джойстик беспроводной Genesis NJG-2100 Mangan 400 (For PC/Console, Wireless, USB, Black)",1,34.25
"Джойстик беспроводной Genesis NJG-2100 Mangan 400 (For PC/Console, Wireless, USB, Black)",1,32.66
"Джойстик беспроводной Genesis NJG-2102 Mangan 400 (For PC/Console, Wireless, USB, Red)",1,37.44
"Джойстик беспроводной Logitech Gamepad F710 (PC, USB, Silver)",1,42.5
Джойстик беспроводной Sony PlayStation DualSense PS5 (White),4,99
"Дисковод DVD-RW ASUS DRW-24D5MT/BLK/B/GEN (SATA, 24x/16x, Black)",10,24.35
"Дисковод DVD-RW LG GH24NSD1 (SATA, 24x/16x, Black)",35,22.2
"Дисковод DVD-RW LG GH24NSD1 (SATA, 24x/16x, Black)",15,22.36
"Дисковод DVD-RW LG GH24NSD5 (SATA, 24x/16x, черный)",4,19.6
"Дисковод внешний DVD-RW LG GP57EB40 (USB, 24x/8x, Black)",18,32.62
"Дисковод внешний DVD-RW LG GP57EB40 (USB, 24x/8x, Black)",10,35.52
"Дисковод внешний DVD-RW LG GP57ES40 (USB, 24x/24x, Silver)",1,40.26
"Дисковод внешний DVD-RW LG GP60NB60 (USB, 24x/24x, Black)",8,32.09
"Дисковод внешний DVD-RW LG GP60NB60 (USB, 24x/24x, Black)",22,30.11
"Дисковод внешний DVD-RW LG GP60NS60 (USB, 24x/24x, Silver)",1,33
Док-станция HDD Natec Kangaroo Dual SATA USB 3.0,1,50.38
"Док-станция HDD Ugreen 50857 (2xSATA, USB 3.0)",12,31.9
"Док-станция Lightwave LW-DOCK-61A (USB-C to 3xUSB-A 3.0; 1xHDMI 4K@30Hz; 1xRJ45 Gigabit, 1xUSB-C PD3.0 100W)",3,27.69
"Жесткий диск 10TB SATAIII SEAGATE ST10000VN000 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",5,302.31
"Жесткий диск 10TB SATAIII SEAGATE ST10000VN000 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",3,296.67
"Жесткий диск 12TB SATAIII SEAGATE ST12000VN0008 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",7,312.66
"Жесткий диск 12TB SATAIII SEAGATE ST12000VN0008 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",8,349
"Жесткий диск 16TB SATAIII Seagate Exos X16 ST16000NM001G (3.5"", 7200rpm, 256Mb)",2,330.5
"Жесткий диск 16TB SATAIII Seagate Exos X18 ST16000NM000J (3.5"", 7200rpm, 256Mb)",7,276.14
"Жесткий диск 1TB SATAIII Seagate Barracuda Green ST1000DM010, 7200rpm, 64Mb",1,46
"Жесткий диск 1TB Seagate Barracuda ST1000LM048 (2.5"", SATAIII, 5400rpm, 128Mb)",6,66.99
"Жесткий диск 1TB Seagate SkyHawk ST1000VX013 (3.5"", SATAIII, 5400rpm, 256Mb)",1,61
"Жесткий диск 1TB Toshiba Surveillance S300 HDWV110UZSVA (3.5"", SATAIII, 7200rpm, 64Mb)",3,61.1
"Жесткий диск 1TB Toshiba Surveillance S300 HDWV110UZSVA (3.5"", SATAIII, 7200rpm, 64Mb)",3,60.26
"Жесткий диск 20TB SATAIII Seagate IronWolf Pro ST20000NT001 (3.5"", 7200rpm, 256Mb)",2,562.82
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)",47,73.36
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)",7,71.08
"Жесткий диск 2TB Toshiba P300 HDWD220UZSVA (3.5"", SATAIII, 5400rpm, 128Mb)",6,67.92
"Жесткий диск 2TB Toshiba P300 HDWD220UZSVA (3.5"", SATAIII, 5400rpm, 128Mb)",1,65.13
"Жесткий диск 2TB WD WD23PURZ Purple Surveillance (3.5"", SATAIII, 256Mb)",3,81.75
"Жесткий диск 4TB SATAIII SEAGATE SkyHawk ST4000VX016 (3.5"", SATAIII, 5400rpm, 256MB)",1,107
"Жесткий диск 4TB SATAIII SEAGATE SkyHawk ST4000VX016 (3.5"", SATAIII, 5400rpm, 256MB)",8,107.37
"Жесткий диск 4TB SATAIII SEAGATE ST4000DM004 (3.5"", SATAIII, 5400rpm, 256MB)",13,115.55
"Жесткий диск 4TB SATAIII SEAGATE ST4000DM004 (3.5"", SATAIII, 5400rpm, 256MB)",2,110.13
"Жесткий диск 4TB SATAIII WD WD43PURZ, 5400rpm, 256Mb",1,114.62
"Жесткий диск 4TB SATAIII WD WD43PURZ, 5400rpm, 256Mb",4,128.72
"Жесткий диск 4TB Seagate Barracuda ST4000LM024 (2.5"", SATAIII, 5400rpm, 128Mb)",1,161
"Жесткий диск 8TB SATAIII SEAGATE ST8000VN004 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",6,225.85
"Жесткий диск внешний 10TB Seagate Expansion STKP10000400 (3.5"", USB 3.1, Black)",7,250.43
"Жесткий диск внешний 10TB Seagate Expansion STKP10000400 (3.5"", USB 3.1, Black)",3,288.27
"Жесткий диск внешний 12TB Seagate Expansion STKP12000400 (3.5"", USB 3.1, Black)",5,329.2
"Жесткий диск внешний 14TB Seagate Expansion STKP14000400 (3.5"", USB 3.0, Black)",2,336
"Жесткий диск внешний 14TB Seagate One Touch Hub STLC14000400 (3.5"", USB 3.0, Black)",1,378.25
"Жесткий диск внешний 16TB Seagate One Touch Hub STLC16000400 (3.5"", USB 3.0, Black)",4,470.51
"Жесткий диск внешний 16TB Seagate One Touch Hub STLC16000400 (3.5"", USB 3.0, Black)",3,396.25
"Жесткий диск внешний 16TB WD My Book WDBBGB0160HBK (3.5"", USB 3.0, Black)",1,462
"Жесткий диск внешний 16TB WD My Book WDBBGB0160HBK (3.5"", USB 3.0, Black)",1,410
"Жесткий диск внешний 18TB Seagate One Touch Hub STLC18000402 (3.5"", USB 3.0, Black)",1,421
"Жесткий диск внешний 18TB WD Elements Original WDBWLG0180HBK (3.5"", USB 3.0, Black)",1,468
"Жесткий диск внешний 1TB Seagate Expansion STKM1000400 (2.5"", USB 3.0, Black)",34,62.89
"Жесткий диск внешний 1TB Seagate Expansion STKM1000400 (2.5"", USB 3.0, Black)",7,61.23
