Supplier,Source,Brand,Category,Model,Product Name,Price,Currency,Stock,MOQ,Warranty,Notes,Date Added
Proks SIA,Price List,,General,MZ-V9P4T0CW,Samsung SSD 990 PRO 4TB PCIe 4.0 (NVMe) R7450/W6900 MB/s w/ Heatsink (Black box),619.8,USD,63,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9P1T0GW,Samsung SSD 990 PRO 1TB PCIe 4.0 (NVMe) R7450/W6900 MB/s w/ Heatsink (White box),208.9,USD,53,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9P2T0GW,Samsung SSD 990 PRO 2TB PCIe 4.0 (NVMe) R7450/W6900 MB/s w/ Heatsink (White box),338.8,USD,48,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP1T0BW,Samsung SSD 9100 PRO 1TB PCIe 5.0 (NVMe) R14800/W13400 MB/s,211.3,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP2T0BW,Samsung SSD 9100 PRO 2TB PCIe 5.0 (NVMe) R14800/W13400 MB/s,345.9,USD,35,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP4T0BW,Samsung SSD 9100 PRO 4TB PCIe 5.0 (NVMe) R14800/W13400 MB/s,625.7,USD,24,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP8T0BW,Samsung SSD 9100 PRO 8TB PCIe 5.0 (NVMe) R14800/W13400 MB/s,1141.5,USD,32,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP1T0CW,Samsung SSD 9100 PRO 1TB PCIe 5.0 (NVMe) R14800/W13400 MB/s w/ Heatsink,214.9,USD,14,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP2T0CW,Samsung SSD 9100 PRO 2TB PCIe 5.0 (NVMe) R14800/W13400 MB/s w/ Heatsink,344.7,USD,39,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP4T0CW,Samsung SSD 9100 PRO 4TB PCIe 5.0 (NVMe) R14800/W13400 MB/s w/ Heatsink,637.5,USD,69,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-VAP8T0CW,Samsung SSD 9100 PRO 8TB PCIe 5.0 (NVMe) R14800/W13400 MB/s w/ Heatsink,1151.0,USD,19,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,Kingston SSD,0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SA400S37/240G,"Kingston A400, 240GB, SATA3, 2.5', 500r/350w MB/s",63.7,USD,80,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SA400S37/480G,"Kingston A400, 480GB, SATA3, 2.5', 500r/480w MB/s",95.6,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SA400S37/960G,"Kingston A400, 960GB, SATA3, 2.5', 500r/480w MB/s",140.5,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SKC600/1024G,Kingston KC600 1TB SATA 2.5 550r/500w MB/s,204.2,USD,14,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SKC600MS/256G,Kingston KC600 256TB mSATA 550r/500w MB/s,80.3,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SFYR2S/1T0,Kingston FURY Renegade G5 1TB PCIe 5.0 (NVMe) R14'200/W11'000 MB/s SSD,230.2,USD,13,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SFYR2S/2T0,Kingston FURY Renegade G5 2TB PCIe 5.0 (NVMe) R14'700/W41'000 MB/s SSD,338.8,USD,19,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SNV3S/500G,Kingston NV3 500GB PCIe 4.0 (NVMe) R6000/W2200 MB/s SSD,99.2,USD,200,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SNV3S/1000G,Kingston NV3 1TB PCIe 4.0 (NVMe) R6000/W2200 MB/s SSD,142.8,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SNV3S/2000G,Kingston NV3 2TB PCIe 4.0 (NVMe) R6000/W2200 MB/s SSD,258.5,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,Crucial SSD,0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT240BX500SSD1,"Crucial SSD BX500 240GB, SATA3, 2.5' 540r/500w MB/s",53.1,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT500BX500SSD1,Crucial SSD BX500 2.5 500GB SATA Internal SSD 540MB/s,86.2,USD,240,NO,,Price DAP EU,02/03/2026
