Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
PHONIX,Laptops,LENOVO,83F00005US,LENOVO LEGION 5 15IAX10 INTEL CORE ULTRA 7 255HX UP TO 5.2GHZ 512GB SSD 16GB DDR5 NVIDIA GEFORCE RTX 5060 8GB 15.1 WQXGA (2560X1600) WINDOWS 11 COLOR ECLIPSE BLACK,1282.99,USD,25,10,MOQ 10 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21ML0089US,LENOVO THINKPAD T14 GEN 5 INTEL CORE ULTRA 7 155U UP TO 4.8GHZ 512GB SSD 16GB DDR5 INTEL GRAPHICS 14 WUXGA (1920X1200) WINDOWS 11 PRO COLOR GREY,1073.63,USD,40,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21T9006FIG,LENOVO THINKPAD E14 GEN 7 INTEL CORE ULTRA 7 240H 512GB SSD 16GB DDR5 INTEL GRAPHICS 14 WUXGA (1920x1200) FREEDOS COLOR BLACK EU SPECS,817.0,USD,985,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,21NS0013US,LENOVO THINKPAD X1 CARBON G13 AURA EDITION INTEL CORE ULTRA 7 258V UP TO 5.10 GHZ 2TB SSD 32GB DDR5 INTEGRATED INTEL ARC GRAPHICS 16 WQUXGA (2880x1800) WINDOWS 11 PRO COLOR ECLIPSE BLACK,1836.18,USD,36,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21Q0002XUS,LENOVO THINKPAD X1 G10 2-IN-1 INTEL CORE ULTRA 7 255U UP TO 5.20 GHZ 1TB SSD 32GB DDR5 INTEGRATED INTEL GRAPHICS 14 WUXGA (1920 x 1200) WINDOWS 11 PRO COLOR SILVER,1448.99,USD,2,2,MOQ 2 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21SBS2CB00,LENOVO THINKPAD L16 G2 INTEL CORE ULTRA 7 255U 512GB SSD 8GB DDR5 INTEGRATED INTEL GRAPHICS 16 WUXGA (1920X1200) FREEDOS COLOR BLACK,787.0,USD,985,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,21KCS4SE00,LENOVO THINKPAD X1 CARBON GEN 12 INTEL CORE ULTRA 7 155U 2TB SSD 32GB DDR5 INTEGRATED INTEL GRAPHICS 14 WUXGA (1920X1200) IPS WINDOWS 11 PRO COLOR BLACK,1637.0,USD,678,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,21NS005RUS,LENOVO THINKPAD X1 CARBON GEN 13 INTEL CORE ULTRA 7-268V UP TO 5.0 GHZ 1 TB SSD 32GB DDR5 INTEL ARC 140V GRAPHICS 14 OLED 2.8K (2880X1800) WINDOWS 11 PRO COLOR BLACK,1839.21,USD,9,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21NX005SUS,LENOVO THINKPAD X1 CARBON GEN 13 AURA EDITION INTEL CORE ULTRA 7-255U UP TO 5.2 GHZ 1TB SSD 32GB DDR5 INTEL INTEGRATED GRAPHICS 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK,1554.39,USD,90,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21MAS1XD00,LENOVO THINKPAD E16 G2 INTEL CORE ULTRA 7-155U 512GB SSD 16GB DDR5 INTEL GRAPHICS 16 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR GRAPHITE BLACK,848.99,USD,100,10,MOQ 10 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21NX005RUS,LENOVO THINKPAD X1 CARBON G13 INTEL CORE ULTRA 7 265U VPRO UP TO 5.30 GHZ 1TB SSD 32GB DDR5 INTEL GRAPHICS 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK,1551.99,USD,25,5,MOQ 5 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,83KY0007US,LENOVO LEGION 7 16IAX10 INTEL CORE ULTRA 7 255HX 32GB DDR5 1TB SSD NVIDIA GEFORCE RTX 5060 16 WQXGA OLED (2560 X 1600) WINDOWS 11 COLOR GLACIER WHITE,1382.69,USD,6,0,MOQ 0 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21TD000NUS,LENOVO THINKPAD T1G GEN 8 INTEL CORE ULTRA 7 265H UP TO 5.30 GHZ 1TB SSD 32GB DDR5 NVIDIA GEFORCE RTX 5070 8GB 16 WQUXGA (3840X2400) WINDOWS 11 PRO COLOR BLACK,2352.29,USD,9,1,MOQ 1 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21R3000WUS,LENOVO THINKPAD T14S 2-IN-1 INTEL CORE ULTRA 7 255U UP TO 5.20 GHZ 1TB SSD 16GB DDR5 INTEGRATED INTEL GRAPHICS 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR ECLIPSE BLACK,1096.99,USD,100,10,MOQ 10 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21QX000KUS,LENOVO THINKPAD T14S GEN 6 INTEL CORE ULTRA 7 268V VPRO UP TO 5.00 GHZ 1TB SSD 32GB DDR5 INTEGRATED INTEL ARC 140V GPU 14 WUXGA (1920 X 1200) IPS WINDOWS 11 PRO COLOR ECLIPSE BLACK,1293.99,USD,25,5,MOQ 5 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,21SJ00EWUS,LENOVO THINKBOOK 14 G8 INTEL CORE ULTRA 7.255H UP TO 5.1GHZ 512GB SSD 16GB DDR5 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 COLOR ARCTIC GREY,958.49,USD,54,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21KFS9G800,LENOVO THINKPAD X1 CARBON GEN 12 INTEL CORE ULTRA 7 165U 1.7GHZ 512GB SSD 32GB DDR5 14 WUXGA (1920X1200) TOUCHSCREEN FREEDOS SLIM PEN COLOR BLACK,1487.0,USD,287,0,MOQ 0 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21D3X01000-R,LENOVO THINKPAD Z13 AMD RYZEN 7 PRO 6850H UP TO 4.7GHZ 1TB SSD 16GB DDR4 AMD RADEON GRAPHICS 13.3 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR ARCTIC GREY. 3RD PARTY REFURBISHED,747.4,USD,4,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,21QL001WUS,LENOVO THINKPAD P14S GEN 6 AMD RYZEN AI 7 350 PRO UP TO 5.0GHZ 1TB SSD 32GB DDR5 AMD RADEON 860M GRAPHICS 14 WUXGA (1920X1200) WINDOWS 11 PRO COLOR BLACK,1236.24,USD,45,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21QN005XUS,LENOVO THINKPAD T16 GEN 4 AMD RYZEN AI 7 PRO-350 UP TO 5.0GHZ 512GB SSD 16GB DDR5 GRAPHICS 16 WUXGA (1920X1200) WINDOWS 11 PRO COLOR BLACK,1099.0,USD,70,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,83ED0001US,LENOVO YOGA SLIM 7 14Q8X9 SNAPDRAGON X ELITE X1E-78-100 UP TO 3.4GHZ 512GB SSD 16GB DDR5 QUALCOMM ADRENO GPU 14.5 3K (2944X1840) OLED TOUCHSCREEN WINDOWS 11 COLOR COSMIC BLUE,1003.94,USD,81,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,83CR001WUS,LENOVO V15 G4 ABP AMD RYZEN 7 7730U UP TO 4.5GHZ 256GB SSD 8GB DDR4 AMD RADEON GRAPHICS 15.6 FHD (1920X1080) FREEDOS COLOR BUSINESS BLACK,413.99,USD,200,20,MOQ 20 | ETA 7 | Conditions NEW
